ClusterSize,diff
2,93.86258902
2,55.08737864
1,93.44262295
1,39.3442623
2,86.52806653
2,93.18181818
2,40.27777778
2,86.05617545
1,25.5952381
1,90.90172985
2,96.55172414
2,96.96691176
1,88.32082552
1,32.4291742
1,80
1,64.71088435
1,96.66666667
2,97.95918367
2,70.3125
2,50
2,54.65116279
1,86.12244898
1,26.3546798
1,96.61016949
1,82.58928571
2,90.74074074
2,76.37931034
2,50.51546392
2,38.0952381
2,61.11111111
2,46.875
1,86.20689655
1,51.85185185
1,86.90909091
6,78.04551539
6,83.65591398
6,83.23458416
6,83.1797235
6,91.33083411
6,91.81818182
22,87.53246753
22,96.15384615
22,97.91666667
22,94.40313112
22,97.36842105
22,96.08454608
22,100
22,89.28836175
22,96.11111111
22,95.98150782
22,100
22,96.0915493
22,90.67584481
22,89.83333333
22,100
22,97.46835443
22,91.66666667
22,96.46962233
22,94.33604336
22,97.04924705
22,89.64183964
22,96.65401044
1,59.87179487
2,41.07981221
2,40.39955605
1,30.53593685
6,46.72897196
6,40.625
6,45.23809524
6,41.05263158
6,68.42105263
6,63.0952381
1,62.86262287
1,42.45858762
1,64.64646465
3,25.45454545
3,92.95774648
3,58.23013416
2,78.86090606
2,77.97888386
2,34.375
2,95
1,95.12195122
1,37.26950355
1,92.14340198
2,93.33333333
2,80.03731343
1,70.27027027
2,59.52380952
2,68.93203883
4,35.8974359
4,31.57894737
4,27.53623188
4,35.21367521
5,58.18181818
5,53.84615385
5,83.01886792
5,89.28571429
5,77.08333333
9,69.09090909
9,83.28820116
9,91.74603175
9,73.92592593
9,73.07692308
9,100
9,93.18181818
9,80.55555556
9,29.37062937
4,84.76721734
4,92.49767008
4,93.99671053
4,88.09957498
1,77.52188809
3,85.83050847
3,85.54479419
3,96.07843137
1,82.59905232
11,83.97590361
11,83.46273292
11,81.01673102
11,78.35986989
11,91.48903306
11,71.31868132
11,70.20913359
11,57.02970297
11,73.40659341
11,65.36976537
11,70.4851752
1,30.35714286
1,56.22222222
31,66.22807018
31,26.87651332
31,52.63157895
31,33.7962963
31,47.77432712
31,29.09090909
31,33.38870432
31,37.42424242
31,91.08695652
31,88.92763731
31,96.58994032
31,93.61702128
31,93.7535014
31,32
31,92.34778489
2,77.79623477
31,90.71358749
2,74.28571429
31,92.98245614
31,94.11393736
31,93.98395722
31,92.70919635
31,85.39270859
31,96.55172414
31,94.99726627
31,100
31,58.62068966
31,100
31,97.01492537
31,100
31,100
31,98.30508475
31,98.52941176
6,96.55172414
6,100
6,95.57997558
6,97.87234043
6,91.71395194
6,91.87234043
1,50
1,100
2,33.33333333
2,37.03148426
5,47.60990184
2,93.62396774
2,92.11065574
5,48.16399287
5,66.58312448
5,28.20512821
5,27.5
4,55.07246377
4,53.21637427
4,55.79001544
4,57.5483871
1,81.9221968
17,100
17,100
17,98.33333333
17,90.97481343
17,93.86946387
17,84.7120098
17,97.26027397
17,100
17,88.66666667
17,94
17,100
17,85.67874911
17,95.65217391
17,100
17,90.47619048
17,94.20289855
17,93.47826087
7,91.84826473
7,75.90277778
7,83.82049727
7,78.05377721
7,92.5974026
7,89.94165046
7,92.09401709
5,27.80117079
5,34.32062199
5,38.18181818
5,50.18761726
5,53.93559928
8,60.9375
8,71.13402062
8,31.95876289
8,58.75
8,72.72727273
8,61.53846154
8,31.16883117
8,37.70491803
25,90.69767442
25,88.57142857
25,93.47826087
25,100
25,89.36170213
25,78.78787879
25,65.71428571
25,50.87719298
25,54.83870968
25,96.875
25,96.55172414
25,44.82758621
25,66.66666667
25,40.74074074
25,25.92592593
25,96.15384615
25,95.83333333
25,56
25,57.89473684
25,45.45454545
25,96
25,93.5483871
25,38.46153846
25,66.66666667
25,80.76923077
8,63.63636364
8,62.5
8,87.87878788
8,89.65517241
8,89.65517241
8,39.28571429
8,95.23809524
8,100
13,27.27272727
13,61.76470588
13,91.17647059
13,32.14285714
13,91.07142857
13,91.66666667
13,90.56603774
13,94.73684211
13,87.5
13,93.75
13,90.625
13,86.20689655
13,33.33333333
1,90.90909091
47,86.36363636
47,92.30769231
47,91.66666667
47,87.5
47,52
47,91.17647059
47,88.88888889
47,91.89189189
47,83.87096774
47,89.58333333
47,80.76923077
47,88
47,95.65217391
47,63.15789474
47,32.55813953
47,97.56097561
47,46.34146341
47,94.28571429
47,66.66666667
47,44.68085106
47,94
47,83.01886792
47,96.15384615
47,96.22641509
47,88.46153846
47,91.37931034
47,96.15384615
47,92
47,77.5862069
47,100
47,92.06349206
47,28.81355932
47,100
47,88.13559322
47,91.07142857
47,94.44444444
47,54.16666667
47,94
47,46.66666667
47,67.5
47,93.93939394
47,85.71428571
47,73.52941176
47,97.5
47,73.68421053
47,100
47,53.33333333
6,88.88888889
6,30.95238095
6,76.8115942
6,91.66666667
6,92.85714286
6,90.56603774
1,27.11202467
1,26.2295082
1,54.09090909
2,94.59459459
2,98.11320755
1,29.66386555
1,30.43478261
1,64.73604827
10,92
10,90.27914614
10,91.83673469
10,87.75510204
10,86.41975309
10,84.18915691
10,84.16666667
10,75.29079428
10,88.09267241
10,88.53028798
1,52.04081633
1,28.20512821
1,83.69477912
1,52.38095238
3,45.94594595
3,35.48387097
3,28.57142857
1,26.25
2,27.60180995
2,91.89144189
1,93.77302436
1,90.25062657
2,91.76470588
2,73.73239437
1,85.48387097
3,58.53658537
3,62.85511364
3,69.23076923
2,79.74683544
2,75
2,57.33333333
2,60
1,80.69023569
2,42.46575342
2,47.5
1,98.36065574
2,59.49367089
2,43.24324324
2,69.86387107
2,79.60784314
2,40.19607843
2,33.68421053
1,39.28571429
5,89.67947261
5,91.27864006
5,95.62057755
5,92.77464789
5,84.88129155
2,36.84210526
2,37.5
2,43.24324324
2,32.3943662
1,98.24561404
4,90.32258065
4,76.2012987
4,77.28055077
4,79.22077922
9,97.0122184
9,84.70862471
9,85.47758285
9,89.59361052
9,84.20289855
9,94.27419355
9,95.12338425
9,66.89814815
9,93.6026936
1,91.30434783
1,77.21518987
1,81.22031421
1,33.89830508
2,77.57009346
2,78.59336609
2,33.94495413
2,38.57142857
2,86.58536585
2,87.20930233
2,90.54054054
2,94.38202247
2,94.50549451
2,83.20595334
2,65.15406162
2,65.03609659
8,89.15662651
8,82.92682927
8,81.39534884
8,76.47058824
8,93.21194831
8,87.85796105
8,88.09360991
8,93.53076481
2,84.67261905
2,81.42857143
3,84.61420932
3,87.02408702
3,55
2,62.76595745
2,60
1,42.26892822
1,39.82202447
1,33.33333333
1,93.75
1,84.11144578
2,91.52272123
2,94.82843137
2,92.98245614
2,98.50746269
2,85.64593301
2,88.83360973
1,91.52542373
1,94.80519481
1,83.65243004
1,90
1,97.36842105
1,93.93939394
1,39.77785491
1,86.76470588
1,86.29370629
1,84.76446035
1,72.8415139
1,32.65381764
1,29.88505747
1,52.31660232
1,87.66233766
1,32.22222222
1,87.23635573
1,43.75
1,72.47360483
1,88.88888889
2,90.62034739
2,93.52451434
2,84.00443881
2,35.30540454
3,86.50510204
3,79.84496124
3,86.56565657
1,89.02229846
1,82.33918129
1,93.53979354
1,78.31400166
1,31.27705628
1,72.47058824
1,83.79186603
2,93.68421053
2,96.66666667
1,92.29610751
1,75.22222222
3,48.35818943
3,48.78306878
3,56.52173913
2,76.85638515
2,78.78787879
1,25.24064171
1,58.9375
1,96.61016949
4,83.73397436
4,84.7826087
4,55.21985816
4,31.39287613
12,33.67346939
12,34.17435341
12,31.42857143
12,26.31578947
12,90.1558964
12,87.46081505
12,89.15662651
12,89.60283688
12,35.8974359
12,37.03964344
12,25.3164557
12,29.67032967
1,59.24935962
2,96.49122807
2,96.43340095
1,41.46141215
1,46.48460894
1,39.23902894
1,76.19047619
1,32.46753247
1,97.64705882
1,96.07843137
2,95.35984848
2,85.81161846
2,41.86795491
2,47.61752478
5,65.43589744
5,53.125
5,68.97335932
5,88.82352941
5,84.69387755
1,72.5
3,96.03507434
3,85.6562137
3,42.40597186
1,44.44444444
1,83.22762509
1,98.9010989
1,41.94518126
2,37.69889841
2,28.69249395
2,45.14412417
2,47.11779449
3,45.94594595
3,47.36842105
3,41.66666667
5,74.83930211
5,76.90869087
5,69.15319974
5,77.90136693
5,67.90123457
1,73.01196341
1,79.09199522
1,93.10344828
1,85.71428571
2,78.06146572
2,81.07769424
1,81.79487179
1,84.21177588
1,41.50579151
2,91.03448276
2,96.77419355
1,73.63013699
2,61.36363636
2,25.85153864
1,43.19727891
1,88.1547619
1,93.14814815
1,77.32764748
1,82.00956938
2,46.0952381
2,53.8705372
1,36.70886076
2,36.17021277
2,38.00986842
1,41.37931034
4,73.40425532
4,70.2015911
4,84.7120098
4,90.60553383
4,89.29577465
4,92.95774648
4,83.33333333
4,72
2,86.6507177
2,74.1038961
1,35.21810474
1,71.05820106
1,100
1,75.83555161
1,61.30820399
1,35.73529412
1,27.36378205
1,85.03496503
2,96.20383037
2,96.8757259
1,55.55555556
2,68.08261471
2,86.27777778
1,95.31542056
6,59.66235153
6,36.49764151
6,86.61349055
6,76.83823529
6,85.93666607
6,80.82463984
1,86.59259259
2,87.96296296
2,95.71428571
1,35.09021842
1,75.92051432
1,79.43722944
1,78.06096952
2,78.19265144
2,72.75527126
2,93.13865147
2,84.84848485
1,86.05987704
3,88.83360973
3,82.32804233
3,66.62337662
1,93.25695581
1,75.55555556
2,74.9197861
2,96.96969697
1,26.5625
1,69.25809822
1,33.75
1,91.89189189
1,30.55555556
2,27.41935484
2,41.25
2,29.23076923
2,27.65957447
2,28.16901408
2,26.80412371
2,55.49367089
2,58.32068311
1,51.51515152
1,94.87468672
1,93.4137931
2,44.8164907
2,33.20477639
1,91.66666667
2,45.17444981
2,47.57337983
1,91.17647059
1,95.12195122
1,96.66666667
1,61.2244898
1,62.93103448
2,85.39325843
2,85.61320755
2,92.10526316
2,89.32178932
1,92.93117194
1,28.20512821
1,78.91156463
1,100
1,36.17021277
1,89.09785483
1,65.23311279
3,93.47826087
3,86.26207729
3,88.23529412
3,46.01626016
3,26.19047619
3,36.65917603
1,90.60466896
1,31.52847153
5,85.71428571
5,85.22727273
5,86.41975309
5,86.45926992
5,91.56626506
1,84.21052632
1,29.41176471
1,72.82137699
2,54.54545455
2,30.10752688
2,48.53091467
2,26.66191833
2,38.63636364
2,45.02865832
13,29.11392405
13,26.31578947
13,26.31578947
13,43.83561644
13,75
13,42.85714286
13,40
13,46.37681159
13,81.48148148
13,81.15942029
13,48.38709677
13,42.85714286
13,47.61904762
2,35.06493506
2,46.41241112
1,42.85714286
1,40.50604568
3,33.97001934
3,29.72972973
3,26
1,39.0625
1,45.90163934
2,50.59808612
2,54.49579832
4,35.05154639
4,51
4,30.55555556
4,43.75
1,80.48399688
1,30.58823529
2,29
2,31.11111111
1,35.0207087
1,38.29787234
1,57.63125763
3,62.10826211
3,59.77777778
3,59.63010204
70,80.37634409
70,56.49303008
70,94.73684211
70,100
70,98.24561404
70,97.77777778
70,30.95238095
70,96.42857143
70,57.40740741
70,94.54545455
70,95.65217391
70,41.07142857
70,96.55172414
70,95.74468085
70,91.52542373
70,97.72727273
70,94.54545455
70,95.45454545
70,30.26315789
70,91.02564103
70,94.93670886
70,95.83333333
70,95.65217391
70,87.83783784
70,73.07692308
70,88.88888889
70,92.85714286
70,88
70,32
70,94.44444444
70,35.71428571
70,45.16129032
70,96.96969697
70,86.95652174
70,80
70,92.75362319
70,93.5483871
70,30.3030303
70,37.5
70,92.06349206
70,100
70,75
70,93.5483871
70,85.9375
70,96.875
70,100
70,81.96721311
70,87.09677419
70,89.83050847
70,85.29411765
70,41.93548387
70,84.84848485
70,90.16393443
70,86.84210526
70,68.18181818
70,87.80487805
70,84.375
70,94.59459459
70,88.88888889
70,95.65217391
70,92.40506329
70,97.14285714
70,96.20253165
70,34.61538462
70,88.60759494
70,90.625
70,92.5
70,100
70,93.58974359
70,70.73170732
42,75
42,89.87341772
42,93.10344828
42,96.42857143
42,25.92592593
42,97.2972973
42,91.25
42,100
42,26.5060241
42,79.26829268
42,83.33333333
42,96.34146341
42,93.33333333
42,88.75
42,83.33333333
42,89.04109589
42,87.87878788
42,97.01492537
42,96.77419355
42,52.45901639
42,39.39393939
42,91.66666667
42,37.83783784
42,72.09302326
42,69.81132075
42,67.39130435
42,92
42,30.23255814
42,56.25
42,51.06382979
42,92.64705882
42,97.82608696
42,79.45205479
42,71.11111111
42,94.66666667
42,92.98245614
42,95
42,38.75
42,98.33333333
42,28.57142857
42,61.9047619
42,83.78378378
1,28.92857143
2,50.53927167
2,42.34234234
9,95.23809524
9,47.61904762
9,91.30434783
9,65.38461538
9,92.30769231
9,93.10344828
9,70.58823529
9,94.11764706
9,37.03703704
1,43.88984509
1,42.12276215
1,83.18442153
2,30.66666667
2,30
2,26.38888889
2,25.45454545
1,73.25
1,33.74455733
2,84.64285714
2,68.42105263
1,33.38574423
1,26.52116402
1,79.44297082
1,78.57142857
1,47.56335283
1,93.94585253
1,50
1,58.33333333
1,87.05882353
1,32.5
1,29.09090909
1,28.94736842
1,73.52941176
1,28.88888889
1,90.99616858
1,73.91204764
1,33.18309859
23,44.44444444
23,43.66197183
23,47.61904762
23,40.27777778
23,44.44444444
23,42.32046492
23,41.93548387
23,36.70886076
23,42.30769231
23,40.54054054
23,40.78947368
23,37.5
23,44.53869242
23,42.59259259
23,40.27777778
23,37.73584906
23,42.64705882
23,42.66666667
23,37.03703704
23,36.50793651
23,46.25
23,53.16455696
23,60.36178433
1,38.90518084
1,84.38852814
1,28.80434783
1,55.83333333
2,88
2,50
1,55.55555556
3,84.46601942
3,85.19367992
3,88.11320755
2,80.26541096
2,90.36016949
2,84.56737589
2,79.83091787
1,44.00502197
2,55.73770492
2,53.26243173
2,31.03813559
2,34.10087719
1,92.30769231
2,44.88888889
2,51.84659091
1,89.05797101
1,86.83982684
1,56.97802198
1,91.97767701
1,34.06827881
2,68.88888889
2,76.40449438
15,92.60204082
15,94.38635113
15,86.03174603
15,82.63644366
15,86.77248677
15,80.70297305
15,85.90381426
15,38.2815735
15,88.21536145
15,86.91168694
15,67.03081232
15,91.60358845
15,96.38906962
15,96.03921569
15,86.18670886
1,95.94155844
1,90.98143236
2,79.18074324
2,70.35512095
1,85.41666667
1,38.45261122
1,91.30434783
1,93.5483871
1,26.42642643
2,88.54166667
2,93.91025641
1,86.56716418
1,82.51611096
2,46.09756098
2,29.90506329
1,91.95402299
1,80.58349099
1,42.85714286
1,89.78922717
1,62.96296296
2,78.25
2,81.40183194
1,84.03846154
1,74.63768116
1,63.79310345
1,62.18708827
2,90.52202888
2,91.56223893
1,95.21788342
1,38.39721254
1,86.74123413
2,84.61538462
2,95.45454545
2,37.20930233
2,98
1,28.44036697
29,28.78787879
29,92.30769231
29,88
29,85.9375
29,86
29,91.30434783
29,93.90451833
29,89.0625
29,88.52459016
29,76.11940299
29,59.84848485
29,92.85714286
29,95.55555556
29,36.17021277
29,92.30769231
29,94.07801418
29,90.50211736
29,90.69767442
29,89.39393939
29,91.4893617
29,98.63013699
29,91.4893617
29,95.18072289
29,85.71428571
29,85.86956522
29,92.22222222
29,95.45454545
29,96.55172414
29,84.1587517
4,55.81395349
4,57.35294118
4,52.17391304
4,64.78873239
3,91.92040017
3,82.67206478
3,78.68455074
1,64.14565826
1,97.82608696
1,90.84239818
1,61.91432396
2,36.48648649
2,60.81081081
2,47.18265605
2,32.67586475
1,90.19607843
2,59.62033462
2,64
1,80.21978022
1,57.74456522
1,71.08013937
3,85
3,85.71428571
3,88.28125
2,79.50025497
2,88.16602885
2,75.41613316
2,81.49633764
1,25.92592593
2,51.1627907
2,63.07692308
1,90.76923077
2,76.35869565
2,74.41860465
1,52.04081633
1,65.55555556
2,43.39622642
2,53.33333333
1,79.34782609
3,83.14606742
3,88.88888889
3,65.11627907
1,26
2,34.54545455
2,34.93975904
1,71.97170645
1,53.58382937
1,25.97597598
1,30.09441385
1,93.75
1,96.33027523
1,56.89655172
1,40.50632911
2,54.59068295
2,27.15240642
1,34.21052632
1,43.85964912
2,64.14519906
2,69.69057665
1,49.85849057
1,80.71428571
2,53.38181818
2,77.27272727
4,79.41176471
4,70.43478261
4,83.7012987
4,80.3875969
1,72.4137931
2,45.50395257
2,50.78901227
1,97.91666667
1,84.81203008
2,79.8989899
2,82.33752621
1,28.77280265
1,71.61410019
1,50.4587156
1,27.5862069
1,32.3943662
1,27.94117647
1,33.33333333
1,46.03174603
2,30.88235294
2,35.21126761
1,43.10344828
1,73.0123535
1,61.22655123
1,26.37362637
1,33.33333333
1,86.36709825
1,92.39130435
1,88.61149111
1,73.54196302
1,42.72474513
1,71.24542125
1,42.86919831
1,91.70454545
1,98.57142857
2,73.12560857
2,89.81990232
1,63.20274914
1,25.45454545
1,100
1,92.85714286
1,28.72340426
1,35.00273673
1,26.02739726
1,91.75066313
10,58.92473118
10,81.54008439
10,59.42028986
10,85.33333333
10,71.23287671
10,75
10,94.11764706
10,93.58974359
10,82.60869565
10,81.81818182
4,61.64383562
4,51.28262826
4,45.78313253
4,54.66141002
1,68.31505484
1,92.06349206
1,42.55319149
1,53.84615385
1,29.54545455
2,50.91919192
2,54.83401281
1,94.82758621
1,39.1954023
1,52.89968652
9,81.4
9,83.35879806
9,78.95833333
9,84.61538462
9,83.72093023
9,57.8313253
9,60.27103525
9,59.12280702
9,63.15789474
2,29.48717949
2,34.52380952
2,94.16666667
2,89.18918919
2,55.10249554
2,50.49226442
2,51.1761331
2,41.42857143
1,90.12345679
2,94.01550388
2,95.67264859
1,45.20547945
1,83.33333333
2,49.69215492
2,56.34401909
1,79.54545455
1,46
1,47.48221128
1,31.58823529
25,77.77777778
25,82.9787234
25,94.82758621
25,87.64044944
25,93.87755102
25,42.52873563
25,42.04545455
25,34.69387755
25,36.17021277
25,62.5
25,39.58333333
25,80.43478261
25,36.70886076
25,56.09756098
25,86
25,50
25,86.11111111
25,94.23076923
25,41.17647059
25,32.75862069
25,92.72727273
25,77.6329809
25,69.3877551
25,70.45454545
25,67.07317073
1,39.13043478
1,82.86970863
1,95.18072289
5,30.98245614
5,64.70588235
5,68.12166241
5,61.19653341
5,60.31457955
1,69.15332563
1,35.71428571
17,58.59848485
17,59.04139434
17,61.68091168
17,63.63636364
17,60.6557377
17,51.125
17,53.18318318
17,53.92278954
17,52.74688237
17,54.92957746
17,55.38461538
17,64.76190476
17,67.69230769
17,60.16365202
17,61.26530612
17,56.52173913
17,52.47035573
15,61.53846154
15,87.17948718
15,62.22222222
15,59.23529412
15,62.5
15,63.82978723
15,56.15942029
15,65.38461538
15,53.82608696
15,62.74509804
15,52.83723245
15,55.81395349
15,55.10204082
15,56.36363636
15,56.62650602
1,26.47058824
6,91.11111111
6,86.61387632
6,87.7481758
6,90.82711982
6,94.97929607
6,92.76629571
2,77.42241175
2,86.25
3,97.05882353
3,100
3,97.22222222
2,95.69892473
2,92.39130435
6,79.74683544
6,95.23809524
6,95.23809524
6,92.5
6,90.66666667
6,100
3,76.47058824
3,68
3,78.26398852
1,28
1,62.77419355
1,38.2161235
1,85.28488653
1,94.11764706
2,97.77777778
2,62.79069767
1,57.73809524
1,65.06410256
2,47.66759345
2,58.66666667
1,69.56521739
2,64
2,96.7967968
1,40.49850449
2,49.45054945
2,50.38461538
1,51.44755577
1,93.93939394
1,39.33333333
1,95.12195122
2,44.09792086
2,94.73684211
1,37.71929825
1,100
1,89.68407479
1,32.65993266
1,63.91663048
1,84.8413631
1,57.70859278
1,43.91534392
1,71.05263158
1,50.72463768
1,92.45283019
3,93.10344828
3,81.38554217
3,82.27848101
2,37.62646978
2,38.36627141
2,56
2,45.52238806
1,54.07928234
1,42.42424242
1,92.64637002
1,93.47826087
2,90.06546645
2,94.11764706
6,81.29032258
6,80.50595238
6,85.01498501
6,74.94444444
6,93.68589744
6,96.26715093
1,54.29951691
2,34.7826087
2,55.17241379
2,29.04797601
2,42.82323152
4,89.70588235
4,90.76923077
4,45.83333333
4,57.69230769
1,97.14285714
1,54.62184874
1,100
1,79.60285329
1,91.99426699
1,36.18925831
1,48.38709677
1,63.93442623
1,75.55816686
1,32.29166667
1,91.09909024
1,29.70677452
1,26.73160173
2,50.39787798
2,52.13202498
1,39.21568627
1,51.92827315
1,89.63133641
1,96.96969697
1,74.42188879
1,44.95373048
1,72.97169811
1,65.52197802
1,47.94594595
1,31.81818182
1,100
1,85.65149137
1,43.5483871
1,59.24796748
1,80.43478261
1,33.82352941
2,40.2484472
2,45.66224143
2,91.29361422
2,92.25096313
1,95.74468085
1,50.28571429
1,73.27516779
1,71.25
1,80.28561477
3,27.84810127
3,28.57142857
3,26.38888889
1,97.26027397
1,25.5690546
1,53.43137255
1,34.81852315
1,30.76923077
1,43.85964912
1,81.17647059
1,62.03703704
1,94.93670886
1,95.34883721
1,60.19230769
1,46.03921569
1,25.3164557
1,61.70212766
1,37.28291317
4,93.5467858
4,89.09479686
4,90.18429487
4,90.14341591
5,86.14864865
5,87.69230769
5,85.75884986
5,89.97929607
5,81.06060606
5,78.37524523
5,78.06432918
5,82.10084034
5,74.86355679
5,77.24323469
1,52.55393008
1,59.40128649
4,53.12560857
4,51.1908994
4,48.41269841
4,49.79103343
2,94.54545455
2,89.57795004
2,96.22641509
2,45.90163934
1,48.85954382
1,95.38461538
1,25.92592593
1,42.49871992
2,51.86084142
2,43.60028349
1,53.63247863
1,60.60606061
1,35.91269841
1,55.95238095
1,60.86956522
1,43.1043956
1,78.08219178
1,25.92592593
3,92.56198347
3,92.85714286
3,98.96907216
1,26.08695652
1,28.2942097
1,48.88888889
2,34.44444444
2,35.22727273
2,35.71428571
2,31.94444444
1,33.92857143
1,29.62962963
1,67.90123457
3,34.83146067
3,37.93103448
3,37.5
2,44
2,35.28166721
1,44.61587914
3,53.85430865
3,41.81818182
3,47.67005147
1,41.61184211
2,48
2,26.82926829
1,40
1,49.62742176
2,53.90499911
2,31.98542173
1,31.2599681
3,39.7260274
3,30.37974684
3,36.25
2,38.63928113
2,45.87628866
1,48.98386759
1,39.41120608
1,42.46575342
1,81.67247387
1,25.76802508
1,28.28282828
3,48.11320755
3,55.46897547
3,46.71052632
1,46.72507301
1,46.15384615
1,26.57342657
5,40.29850746
5,42.85714286
5,40
5,36.36363636
5,40.29850746
1,34.21052632
1,45.41666667
1,39.95098039
1,45.12195122
1,25.20114943
1,53.19148936
1,37.68115942
1,41.72557173
1,30.75268817
1,53.81846635
2,41.7721519
2,34.66666667
2,36.36363636
2,34.88372093
1,34.375
1,32.77419355
2,49.53703704
2,53.42741935
3,37
3,43.42105263
3,44.79166667
1,55.20414031
1,35.58333333
1,40.5629327
1,52.26480836
1,43.84729429
1,44.79823455
2,47.59036145
2,49
1,39.4221808
1,51.85185185
1,45.94594595
1,43.47826087
1,51.83673469
1,39.25729443
1,36.7335563
2,46.78612527
2,37.81476739
1,42.85714286
1,71.89458461
2,82.50704225
2,80.18372703
8,93.84615385
8,96.07843137
8,95.45454545
8,97.95918367
8,89.0625
8,95.65217391
8,90.32258065
8,92.85714286
5,91.37931034
5,92.72959184
5,97.95918367
5,92.39787507
5,90.76648841
2,37.87008396
2,59.8043341
1,57.73809524
2,34.27453173
2,53.35070737
1,54.30492301
1,43.58974359
1,46.09130707
1,35.42199488
1,43.04610733
1,30.55555556
